,Person,Said
0,Monica,"Okay, guys, listen, don't forget that tomorrow is the day that Emily gets married again, so whatever we do, just try to really keep Ross's mind off of it."
1,Joey,"Oh, yeah, good idea."
2,Chandler,"Hey man, what's up?"
3,Ross,"Oh, eh, just thinking about Emily getting married tomorrow."
4,Joey,"Ooh, Ross, look!"
5,Joey,Look!
6,Ross,What?
7,Ross,Where?
8,Joey,Right over there!
9,Joey,Right there!
10,Joey,Look-look-look!
11,Ross,What am I looking at?
12,Joey,Somebody help me out here!
13,Phoebe,Hey!
14,Monica,Hey!
15,Phoebe,"Monica, I'm sorry I didn't come by last night."
16,Phoebe,I was out with Gary; he let me ride around with him in his cop car.
17,Phoebe,We saw and prevented crimes.
18,Joey,You got to go on a ride along?
19,Phoebe,Uh-huh!
20,Joey,I want to go on a ride along!
21,Ross,Me too!
22,Chandler,"Yeah, yeah!"
23,Chandler,Me too!
24,Chandler,Yeah.
25,Chandler,"Well, I like danger."
26,Ross,Yeah!
27,Chandler,Tonight?
28,Chandler,You-you didn't say it was going to be at nighttime.
29,Chandler,Opening Credits
30,Rachel,Hey!
31,Monica,Hey!
32,Monica,"Oh, I'm so glad you're home, I thought tonight we could finally organize these photos!"
33,Rachel,"Ohh, thank God!"
34,Rachel,Finally!
35,Monica,"Okay, I've broken them down into categories."
36,Monica,"Okay, we have uh, we got holidays, birthdays, candids, y'know And then what I've done is I've cross-referenced them by subject."
37,Monica,Right?
38,Monica,"So if you're looking up, oh let's say birthdays and dogs, you get Photo 152."
39,Monica,See?
40,Rachel,"Ohh, it's me and La Poo!"
41,Rachel,Wow!
42,Rachel,I miss that dog.
43,Monica,"You can also find him under umm, dog and dead."
44,Rachel,Great!
45,Rachel,Thanks!
46,Monica,"All right, hand me that other box of photos; that's the very last one."
47,Rachel,Okay.
48,Rachel,Oops.
49,Rachel,Sorry!
50,Rachel,"Well, good thing you number all of them, huh?"
51,Monica,I hadn't!
52,Monica,Photo 152 was a prototype.
53,Rachel,Ohhhh.
54,Rachel,"Honey, honey, honey, it's okay, it's okay honey."
55,Rachel,"I'm gonna fix you a drink, huh?"
56,Rachel,Maybe a margarita?
57,Ross,Ross has the blender!
58,Ross,"Ugh, everything's just falling apart!"
59,Rachel,"No honey, it's okay!"
60,Rachel,"Listen, I'll got to Ross's and get the blender, you get all the margarita stuff ready."
61,Monica,"All right, he's keys are in the drawer."
62,Monica,Y'know what?
63,Monica,I also need some cash.
64,Rachel,"Okay, you want me to stop at the ATM?"
65,Monica,"Nah, while you're at Ross's if you see any lying around"
66,Rachel,What?
67,Monica,What?!
68,Monica,"I-I-I don't, I don't do that!"
69,Ross,"That was so cool man, the way you leaned on that guy."
70,Chandler,It is starting to get dark out there.
71,Ross,He told you everything!
72,Ross,I mean you totally cracked him!
73,Chandler,Okay.
74,Chandler,But it is officially nighttime.
75,Ross,"Oh hey, Gary, want me to grab the berry for ya?"
76,Ross,It's theChandler!
77,Joey,"Okay, I got it!"
78,Joey,This place makes the best sandwich in the world!
79,Joey,"Oh-ho, yeah!"
80,Joey,Yep!
81,Joey,Yeah okay.
82,Joey,Even though my tax dollars paid for this car.
83,Chandler,Your tax dollars?
84,Joey,"Yeah, okay."
85,Chandler,Wow!
86,Chandler,That sandwich really does smell good.
87,Joey,Did I say you could smell it?
88,Chandler,I can't smell your sandwich?
89,Joey,Half the taste is in the smell!
90,Joey,You-you're sucking up all the tastiness!
91,Chandler,"Okay, I'll give them back."
92,Chandler,Look!
93,Chandler,What is so great about that sandwich?
94,Joey,"Okay, imagine the best sex you've ever had."
95,Chandler,Okay.
96,Joey,Are you thinking about Monica?
97,Chandler,Yeah.
98,Joey,"Yeah, what's that like?"
99,Rachel,Ohh please don't be from a real dinosaur!
100,Rachel,Please!
101,Rachel,Please!
102,Rachel,Please!
103,Rachel,Please!
104,Rachel,Please!
105,Rachel,Please!
106,Rachel,Please!
107,Rachel,Please!
108,Rachel,Made in Mexico!
109,Rachel,Yes!!
110,Rachel,"Ugh, who would buy this?"
111,Monica,Rach!
112,Monica,It's me!
113,Monica,Pick up!
114,Rachel,Hey!
115,Rachel,What's up?
116,Monica,I need a few more things to make the margaritas.
117,Monica,"Uhh, I need some salt, some margarita mix, and tequila."
118,Rachel,So all we have is ice?
119,Monica,See if he has ice.
120,Rachel,Okay.
121,Rachel,Oh.
122,Rachel,Oh!
123,Ross,So where are we going next?
124,Chandler,Sur-surprise him?
125,Chandler,"We're not, we're not gonna make anybody mad are we?"
126,Joey,Come on man!
127,Joey,"Listen so uh, are you gonna squeeze the perps shoes a little bit before he lawyers up?"
128,Ross,"Yeah, no one talks like that!"
129,Joey,Oh what?
130,Joey,Like your Mr. Cop!
131,Ross,"Hey, I'm more cop than you two!"
132,Chandler,How do you figure that?
133,Ross,Hello!
134,Ross,"I'm in the front seat, okay?"
135,Ross,I'm Gary's partner!
136,Chandler,"Y'know, when you say partner it doesn't sound cop."
137,Chandler,"It, it sounds gay."
138,Ross,"Umm, jealous!"
139,Ross,"Yeah, no problem."
140,Ross,Sorry!
141,Ross,Sorry!
142,Ross,"Oh,  there!"
143,Ross,"Hey Gary, who am I?"
144,Ross,Phone home!
145,Chandler,Look at Officer Ross riding back here with the visitors.
146,Joey,"Yeah, what's up with that Serpico?"
147,Monica,Nooo!
148,Rachel,I know!
149,Monica,Well thank God you were here!
150,Monica,"I mean, we have to erase that!"
151,Rachel,What?!
152,Rachel,We can't do that!
153,Monica,We have too!
