,Person,Said
335,Ross,"Can we please focus here, a naked man's life hangs in the balance!"
336,Phoebe,I'm telling you he's dead.
337,Phoebe,What we are about to have here is a dead fat guy on a stick.
338,Joey,"All right, ladies and gentlemen, let's poke."
339,Joey,Steady.
340,Joey,Steady.
341,Joey,"Okay, a little higher."
342,Joey,Careful of the angle.
343,Joey,"Okay, okay, we're approaching the window  Thread the needle."
344,Joey,Thread the needle.
345,Phoebe,He's alive!
346,Phoebe,He's a-live!!
347,Monica,"And yet, we're still poking him."
348,Joey,"Okay, retract the device, retract the device."
349,Ross,He does not look happy.
350,Rachel,"Hey-hey, now he's showing us his poking device."
351,Joey,"Hey, that's never gonna make it all the way over here, buddy!"
352,Joey,Closing Credits
353,Chandler,I'll hold you close in my arms.
354,Chandler,I can't resist your charms.
355,Chandler,And love....
356,Phoebe,Love.... Chandler and
357,Phoebe,I'll be a fool for you.
358,Phoebe,"I'm sure, you know I don't mind."
359,Chandler,No you know I don't mind.
360,Chandler,Chandler and
361,Phoebe,Yes!
362,Phoebe,You mean the world the world to me.
363,Phoebe,Oh...
364,Chandler,I know.
365,Phoebe,I know.
366,Chandler,I've found.
367,Phoebe,I've found.... Chandler and
368,Phoebe,"...in you, my endless  love."
369,Phoebe,My endless love.
370,Phoebe,End
