,Person,Said
0,Joey,"I'm tellin' you Ross, she wants you."
1,Ross,She barely knows me.
2,Ross,We just live in the same building.
3,Chandler,Any contact?
4,Ross,She lent me an egg once.
5,Joey,You're in!
6,Ross,"Aw, right."
7,Ross,Hey.
8,Chandler,"Come on, Ross, you gotta get back in the game here, ok?"
9,Chandler,"The Rachel thing's not happening, your ex-wife is a lesbianI don't think we need a third..."
10,Joey,"Excuse me, could we get an egg over here, still in the shell?"
11,Joey,Thanks.
12,Ross,An egg?
13,Joey,"Yeah, you're gonna go up to her and say, ""Here's your egg back, I'm returning your egg."""
14,Chandler,I think it's winning.
15,Ross,I think it's insane.
16,Chandler,She'll love it.
17,Chandler,"Go with the egg, my friend."
18,Joey,Think it'll work?
19,Chandler,"No, it's suicide."
20,Chandler,The man's got an egg.
21,Chandler,Opening Credits
22,Monica,You can not do this.
23,Rachel,"Do what, do what?"
24,Monica,Roger wants to take her out tomorrow night.
25,Rachel,No!
26,Rachel,Phoebes!
27,Rachel,Don't you remember why you dumped the guy?
28,Phoebe,"'Cause he was creepy, and mean, and a little frightening... alright, still, it's nice to have a date on Valentine's Day!"
29,Monica,"But Phoebe, you can go out with a creepy guy any night of the year."
30,Monica,I know I do.
31,Rachel,"Well, what are you guys doing tomorrow night?"
32,Joey,"Actually, tomorrow night kinda depends on how tonight goes."
33,Chandler,"Oh, uh, listen, about tonight..."
34,Joey,"No, no, no, don't you dare bail on me."
35,Joey,The only reason she's goin' out with me is because I said I could bring a friend for her friend.
36,Chandler,"Yes, I know, but her friend sounds like such a..."
37,Joey,Pathetic mess?
38,Joey,"I know, butcome on, man, she's needy, she's vulnerable."
39,Joey,"I'm thinkin', cha-ching!"
40,Joey,Thanks.
41,Joey,"Look, you have not been out with a woman since Janice."
42,Joey,You're doin' this.
43,Ross,Hi.
44,Ross,She said yes.
45,Chandler,Yes!
46,Chandler,"Way to go, man!"
47,Chandler,"Still got the egg, huh?"
48,Joey,How do I look?
49,Chandler,"Oh, uh, I... don't... care."
50,Chandler,"Ok, now, remember, no trading."
51,Chandler,"You get the pretty one, I get the mess."
52,Chandler,...And what did you bring?
53,Chandler,Janice?
54,Chandler,"Hey, it's Janice."
55,Chandler,"Ok, I'm makin' a break for it, I'm goin' out the window."
56,Joey,"No, no, no, don't!"
57,Joey,"I've been waitin' for like, forever to go out with Lorraine."
58,Joey,Just calm down.
59,Chandler,Calm down?
60,Chandler,Calm down?
61,Chandler,You set me up with the woman that I've dumped twice in the last five months!
62,Joey,Can you stop yellin'?
63,Joey,"You're makin' me nervous, and I can't go when I'm nervous."
64,Chandler,"I'm sorry, I'm sorry, you're right."
65,Chandler,"Come on, do it, do it, go, come on!!"
