,Person,Said
0,Joey,Hey!
1,Chandler,Hey!
2,Monica,Hey!
3,Joey,What are you guys doing up?
4,Chandler,"Oh, we wanted to finish the crossword before we went to bed."
5,Chandler,"Hey, do you know a six-letter word for red?"
6,Joey,Dark red.
7,Chandler,"Yeah, I think that's wrong, but there's a Connect the Dots in here for you later."
8,Chandler,"Hey, how about maroon?"
9,Monica,"Yes, you are so smart!"
10,Joey,"Aww, you guys are so cute!"
11,Monica,I know.
12,Joey,"All right, I'll see you in the morning."
13,Joey,Chandler and
14,Monica,Okay.
15,Monica,"Y'know, I love doing crossword puzzles with you honey!"
16,Monica,Dream
17,Joey,"Aww, me too."
18,Joey,Now let's finish this and go to bed.
19,Joey,Dream
20,Monica,Okay!
21,Monica,"There's only one left, three letter word, not dog but  Dream"
22,Joey,Cat.
23,Joey,Dream
24,Monica,Yes!
25,Monica,You are so smart!
26,Monica,I love you.
27,Monica,Dream
28,Joey,I love you too.
29,Joey,Opening Credits
30,Rachel,"Uhh, we still need a tip."
31,Phoebe,All right.
32,Phoebe,Hold on.
33,Phoebe,I got it.
34,Phoebe,Nickel!
35,Phoebe,How much more do we need?
36,Rachel,A couple of bucks.
37,Phoebe,"Okay, dime!"
38,Phoebe,You guys should probably keep talking; this could take a while.
39,Phoebe,"Oh no, wait!"
40,Phoebe,Look it!
41,Phoebe,Whoa!
42,Phoebe,"Oh my God, this is a police badge!"
43,Monica,Wow!
44,Chandler,Oh that's so cool!
45,Chandler,Why would a cop come in here though?
46,Chandler,They don't serve donuts.
47,Chandler,"Y'know what actually, could you discover the badge again?"
48,Chandler,I think I can come up with something better than that.
49,Rachel,"Phoebe, I bet somebody's missing that badge."
50,Phoebe,"Yeah, I should probably take it back."
51,Phoebe,"Ooh, but you know what?"
52,Phoebe,"While I'm at the police station, I could check their Ten Most Wanted lists because my friend Fritzy has been like number 11 forever, so this could be her year!"
53,Joey,"Hey, you guys!"
54,Chandler,Hey!
55,Rachel,Hey Joey!
56,Monica,Hey.
57,Joey,Hey.
58,Joey,"That uh, that my sweatshirt?"
59,Monica,"Oh yes, it is."
60,Monica,"I'm sorry I borrowed it, I was cold."
61,Monica,I hope its okay?
62,Joey,"Well uh, it's just that uh, y'know if-if you're gonna be wearing someone's sweatshirt shouldn't it be your boyfriends--and I'm not him."
63,Monica,"I'm sorry, I'll give it back to you."
64,Joey,No-no!
65,Joey,No!
66,Joey,I mean it's gonna be all smelling like Monica!
67,Monica,Are you saying I smell bad?
68,Joey,No!
69,Joey,"No, you smell like a meadow."
70,Joey,I'm sorry.
71,Monica,What's with him?
72,Chandler,"Oh, y'know what?"
73,Chandler,"The last time Joey went to a meadow, his mother was shot by a hunter."
74,Rachel,Ugh!
75,Ross,"Yeah, I still don't know."
76,Ross,I'm sorry I just wanna make sure that I bought the right couch.
77,Ross,"I need a couch that says, ""Kids welcome here."""
78,Ross,"But that also says,  ""Come here to me!"""
79,Rachel,What?!
80,Rachel,You say that to kids?!
81,Ross,No!
82,Ross,No!
83,Ross,No!
84,Ross,"The ""Come here to me"" is y'know for the ladies."
85,Rachel,"Ross, honey, it's a nice couch."
86,Rachel,It's not a magic couch.
87,Rachel,The
88,Ross,Yeah?
89,Ross,The
90,Ross,"Oh, sure."
91,Ross,"Whoa-whoa, what's this?"
92,Ross,The delivery charge is almost as much as the couch!
93,Rachel,Wait!
94,Rachel,"No, that's ridiculous."
95,Rachel,"Come on, he lives three blocks away!"
96,Ross,"Yeah, y'know what?"
97,Ross,"I'll take it myself, thank you!"
98,Ross,"All right Rach, let's go!"
99,Rachel,Yeah!
100,Rachel,Are you kiddin'?
101,Ross,"Oh, come on it's only three blocks!"
102,Ross,"And-and, it's not very heavy, try it!"
103,Ross,Come on!
104,Ross,Come on!
105,Rachel,Oh.
106,Rachel,Oh!
107,Rachel,I can do it!
108,Ross,Yeah!
109,Ross,The
110,Ross,"Oh yeah, we're uh, yeah we're not together."
111,Ross,The
112,Rachel,Ross!
113,Ross,What's that supposed to mean?
114,Rachel,Ross!
115,Rachel,The
116,Ross,"Not that it's any of your business, but we did go out."
117,Ross,The
118,Ross,Yeah!
119,Ross,Rach?
120,Rachel,"Come on, I don't really want to be doing this right now."
121,Rachel,I am carrying a very heavy couch.
122,Ross,Then tell him quickly.
123,Rachel,Fine!
124,Rachel,We went out.
125,Ross,"Not only did we go out, we did it 298 times!"
126,Rachel,Ross!!
127,Rachel,Oh my--ugh!!
128,Rachel,You kept count?!
129,Rachel,You are such a loser!
130,Ross,A loser you did it with  298 times!
131,Phoebe,Oh.
132,Phoebe,Oh!
133,Phoebe,Ma'am?
134,Phoebe,"Excuse me, ma'am?"
135,Phoebe,The Smoking
136,Phoebe,You can't put your cigarette out on a tree!
137,Phoebe,The Smoking
138,Phoebe,No but you shouldn't!
139,Phoebe,Don't ever do that again.
140,Phoebe,The Smoking
141,Phoebe,Hold it!
142,Phoebe,N.Y.P.D!
143,Phoebe,Freeze punk!
144,Phoebe,The Smoking
145,Phoebe,Yeah that's right you are so busted.
146,Phoebe,Book 'em.
147,Phoebe,The Smoking
148,Phoebe,Save it Red!
149,Phoebe,"Unless you wanna spend the night in the slammer, you apologize to the tree."
150,Phoebe,The Smoking
151,Phoebe,You apologize to the tree right now or I am calling for backup.
152,Phoebe,Backup!
153,Phoebe,Backup!!
154,Phoebe,The Smoking
155,Phoebe,"Okay, cancel backup!"
156,Phoebe,Cancel backup!
157,Ross,Okay.
158,Rachel,"Ross, didn't you say that there was an elevator in here?"
159,Ross,"Uhh, yes I did but there isn't."
160,Ross,"Okay, here we go."
161,Ross,"Okay, go left."
162,Ross,Left!
163,Ross,Left!
164,Rachel,"Okay, y'know what?"
165,Rachel,"There is no more left, left!"
166,Ross,"Oh okay, lift it straight up over your head!"
167,Ross,Straight up over your head!
168,Ross,You can do it!
169,Ross,You can do it!
170,Ross,Okay.
171,Ross,You got it?
172,Rachel,Yeah.
173,Ross,Good-good-good.
174,Rachel,Oh-oh!
175,Ross,"Yeah, you got it right?"
