,Person,Said
0,Joey,"God, you're beautiful...why are we fighting this?You know you want it to happen as much as I do."
1,Joey,Joey
2,Rachel,"I don't wanna stand in the way of true love or anything, but I think a  cantaloupe might hurt less."
3,Joey,"Oh, ehm...I'm...I'm rehearsing my lines.They gave me a big romantic story on Days Of Our Lives."
4,Joey,It's the first time my character's got one.
5,Joey,"I'm so nervous, you know, I really want it to be good!"
6,Rachel,Woow!I haven't seen you this worked up since you did that dog food commercial and you thought you were gonna be with a real talking dog!
7,Joey,"Yeah, that was a disappointment... Oh, hey!D'you want to come down to the set and tell me if I'm doing ok?"
8,Rachel,Are you serious?
9,Joey,"Yeah!Hey, you just have to promise not to get yourself thrown out again."
10,Rachel,"Hey, that was an honest mistake!"
11,Joey,Right!
12,Joey,"""Oh my God, is this the men's room?"
13,Joey,"Oh, I feel so foolish, have you always known you wanted to be an actor?"""
14,Rachel,"Yeah, that was an awesome day!"
15,Rachel,Opening credits
16,Monica,Hey!
17,Phoebe,Hey!
18,Ross,Hi!
19,Monica,"So, do you guys wanna come and eat dinner at the restaurant sometime in the next few weeks?"
20,Phoebe,Sure!
21,Ross,I'd love to!
22,Monica,Well you can't!
23,Monica,We're booked solid for the next month!
24,Phoebe,"Well, I can't give you a massage, because my licence has been revoked again!"
25,Ross,"Phoebe, what happened?"
26,Phoebe,"Well, it was an accident...You know, it's a lot of oil and sometimes the hand just slips!"
27,Phoebe,Chandler
28,Phoebe,Oh no!You guys aren't supposed to get divorced for 7 years!
29,Chandler,What?
30,Chandler,"No, I'm taking Monica to a romantic inn in Vermont !"
31,Phoebe,"Oh, good!Ok, good for you!Try to recapture the magic!"
32,Chandler,"So, what do you say?"
33,Chandler,Can you get out of work?
34,Monica,"Oh, honey!I can't."
35,Monica,I was just telling these guys that things are crazy at the restaurant!
36,Chandler,Are you really that busy?
37,Monica,"Yeah, I'm sorry."
38,Monica,I really am.
39,Chandler,"Oh, that's ok.I'll just try and reschedule."
40,Chandler,"""Hi, this is Chandler Bing."
41,Chandler,"I made a reservation there and I need to change it  Oh, what do you mean it's not refundable?"
42,Chandler,Can I just come some other time?
43,Chandler,"Oh, can't you make an exception?"""
44,Monica,Tell them I'm a chef in a big New York restaurant!
45,Phoebe,And tell them that in 2 weeks I will once again be a masseuse in good standing!
46,Chandler,"""Look, this is ridiculous!"
47,Chandler,I'm not paying for that room!
48,Chandler,"Ok?"""
