,Person,Said
0,Ross,She's not here yet.
1,Ross,She's not here.
2,Ross,She's having my baby and she's not here.
3,Monica,I'm sure everything's fine.
4,Monica,Has her water broke yet?
5,Ross,"I don't know, but when I spoke to her, she said she had already passed the mucus plug."
6,Joey,Do we have to know about that?
7,Monica,"Joey, what are you gonna do when you have a baby?"
8,Joey,"I'm gonna be in the waitin' room, handing out cigars."
9,Chandler,"Yes, Joey's made arrangements to have his baby in a movie from the 50's."
10,Ross,"God, I don't believe this."
11,Ross,She could be giving birth in the cab.
12,Rachel,"Oh, Ross, relax."
13,Rachel,"It's probably like two dollars for the first contraction, and then fifty cents for each additional contraction."
14,Rachel,"What, it's ok when Chandler does it?"
15,Chandler,You have to pick your moments.
16,Phoebe,"Did I miss it, did I miss it?"
17,Ross,She's not even here yet.
18,Monica,What's with the guitar?
19,Phoebe,I just thought we might be here for awhile.
20,Phoebe,"You know, things might get musical."
21,Ross,Where the hell have you been?
22,Ross,Susan wanted a Chunky.
23,Ross,"We're having a baby, ok, a baby, you don't stop for Chunkys."
24,Chandler,I used to have that bumper sticker.
25,Chandler,You see what I mean.
26,Chandler,Opening Credits
27,Ross,Stopped for a Chunky.
28,Ross,No.
29,Ross,Dr.
30,Ross,"Dr. Franzblau, hi."
31,Ross,Dr.
32,Ross,59 seconds.
33,Ross,"Quartz, ha."
34,Ross,I'll get it.
35,Ross,I got itI'm getting it!
36,Rachel,"Hi, I thought you might like some ice chips."
37,Rachel,"And if you need anything else, Ido not believe we've met."
38,Rachel,Hi.
39,Rachel,"I'm, uh, Rachel Green."
40,Rachel,I'm Carol's... ex-husband's... sister's roommate.
41,Rachel,Dr.
42,Rachel,"Oh, that's funny!"
43,Monica,I want a baby.
44,Chandler,Mmmm.
45,Chandler,"Not tonight, honey."
46,Chandler,I got an early day tomorrow.
47,Monica,Get up.
48,Monica,Come on.
49,Monica,Let's get some coffee.
50,Chandler,"Oh, ok, 'cause we never do that."
51,Joey,Shoot!
52,Joey,Shoot!
