,Person,Said
0,Rachel,Joey.
1,Rachel,Oh my God.
2,Rachel,Okay.
3,Rachel,So uhI guess we shouldmake it official huh?
4,Joey,Uh Look Rach Hey Ross is here!
5,Joey,Hey look!
6,Joey,It's my good friend Ross.
7,Joey,Hey Ross.
8,Ross,Hey Joey.
9,Ross,Hey you.
10,Rachel,Hey you.
11,Joey,Hey and look he brought flowers.
12,Joey,"Thanks Ross, but I'm really more of a candy guy."
13,Ross,You're weird today.
14,Ross,"Listen I uh, wanted to talk to you about something."
15,Rachel,"Uh yeah, actually I kinda need to talk to you too."
16,Ross,"Uh Joey, can you give us just a minute?"
17,Joey,No.
18,Ross,What?
19,Joey,"Oh, I'm sorry."
20,Joey,I meant no.
21,Monica,Hi!
22,Monica,Hey look who's here!
23,Monica,Mr.
24,Chandler,He pulled a quarter out of my ear!
25,Ross,"Hey, where's uh, where's mom?"
26,Ross,Mr.
27,Monica,"Oh, Aunt Liddy's coming?"
28,Monica,That means we get five dollars each!
29,Monica,Mr.
30,Chandler,Okay.
31,Chandler,Wow.
32,Ross,"Uh Dad, Emma's in the nursery."
33,Ross,I'll take you now.
34,Ross,"If you want, but  I really want to talk to you."
35,Rachel,"I know, I still need to talk to you."
36,Joey,"Oh hey but, before you guys do that  I need to talk to you, and Ross, I need to talk to you."
37,Phoebe,Oh and I need to talk to you.
38,Monica,About what?
39,Phoebe,To see if know what these guys are talking about.
40,Phoebe,Opening Credits
41,Monica,Isn't she beautiful?
42,Monica,Mr.
43,Ross,What about Ben?
44,Ross,Mr.
45,Phoebe,"Have umm, have you thought anymore about you and Rachel?"
46,Ross,"Oh well yeah, actually I was going to talk to her when you guys all came in the room."
47,Phoebe,Yay!
48,Phoebe,It's so exciting!
49,Phoebe,"Wow, you could've done that with us there."
50,Ross,Yeah right.
51,Phoebe,"Oh sure okay, you can touch yourself in front of us but you can't talk to Rachel."
52,Ross,What?!
53,Ross,When have I ever touched myself in front of you guys?
54,Phoebe,Oh please!
55,Phoebe,Just before when you were asleep in the lounge!
56,Phoebe,That Armenian family was watching you instead of the TV.
57,Phoebe,"Oh, that reminds me."
58,Phoebe,That Mr. Hasmeje still has my Gameboy.
59,Joey,"Hey Chandler, can I talk to you for a second?"
60,Chandler,Sure.
61,Joey,Dude I just did something terrible.
62,Chandler,That was you?!
63,Chandler,I thought it was Jack!
64,Joey,No!
65,Joey,"No, that was Jack!"
66,Joey,Rachel thinks I asked her to marry me!
67,Chandler,What?!
68,Chandler,Why does she think that?
69,Joey,Because it kinda looked like I did.
70,Chandler,"Again, what?"
71,Joey,"Okay well, I was down on one knee with the ring in my hand"
72,Chandler,As we all are at some point during the day.
73,Joey,It wasn't my ring!
74,Joey,It fell out of Ross's jacket!
75,Joey,And when I knelt down to pick it up Rachel thought I was proposing!
76,Chandler,Ross had a ring?!
77,Chandler,And he was gonna propose?
78,Joey,I guess.
79,Chandler,And you did it first?!
80,Chandler,This is gonna kill him!
81,Chandler,You know how much he loves to propose!
82,Joey,I know!
83,Joey,I know it's awful.
84,Chandler,"Well, what did she say?"
85,Joey,She said yes.
86,Chandler,Does Ross know?
87,Joey,"Oh God, what the hell am I going to tell him?"
88,Chandler,Well maybe you don't have to tell him anything.
89,Joey,"Oh, I like that."
90,Joey,Yeah
91,Chandler,"If you clear things up with Rachel then Ross never needs to find out, but you have to do it now before he hears about it and kicks your ass!"
92,Joey,Now let's not get carried away.
93,Monica,I want a baby.
94,Chandler,"Honey, we've been over this."
95,Chandler,I need to be facing the other way.
96,Monica,Come on!
97,Monica,"Come on, if we have sex again it'll double our chances of getting pregnant."
98,Monica,Do you think that closet's still available?
99,Chandler,I'm so tired.
100,Chandler,"Yeah okay, but no foreplay."
101,Monica,Deal!
102,Ross,Dad seriously!
103,Ross,Y'know you really should see someone about that!
104,Ross,Mr.
105,Ross,"I wanna go talk to Rachel for a minute, are you gonna be okay alone for a bit?"
106,Ross,Mr.
107,Ross,Actually umm
108,Phoebe,Hey!
109,Rachel,Hi.
110,Phoebe,Are you all right?
111,Rachel,Uhh I think I just got engaged.
112,Phoebe,Oh my God!
113,Phoebe,He did it?
114,Rachel,Welldid you know he was gonna ask me?
115,Phoebe,Are you kidding?
116,Phoebe,I'm like the one who talked him into it.
117,Phoebe,I like to think of myself as the puppet master of the group.
118,Rachel,And you really think this is a good idea?
119,Phoebe,"I just talked him into it, don't tell me I have to do you too."
120,Phoebe,The puppet master gets tired people.
121,Rachel,I just don't know!
122,Rachel,It just doesn't feel right.
123,Phoebe,Why?!
124,Phoebe,"You two are so meant to be together, everybody thinks so."
125,Rachel,Really?!
126,Rachel,Even Ross?
127,Phoebe,Especially Ross!
128,Joey,"Oh uh, hey Pheebs."
129,Joey,Uh y'know what?
130,Joey,I'll-I'll come back later.
131,Ross,Wow!
132,Ross,"Kind of uh, kind of a full house here."
133,Ross,I'll guess justI'll come back.
134,Phoebe,"There he goes, your fiancée."
135,Rachel,I guess so.
136,Phoebe,Although he does play with himself in his sleep.
137,Rachel,I can't say that I'm surprised.
138,Ross,"Dad, what are you doing?"
139,Ross,Mr.
140,Joey,"It can't be me, I'm standing right here."
141,Joey,Mr.
142,Ross,No!
143,Ross,Mr.
144,Ross,Y'know what?
145,Ross,I don't like you without mom.
146,Ross,Come on.
147,Joey,We're not peeking?
148,Joey,Mr.
149,Chandler,"Hello sir, you know Monica."
150,Joey,"Hey uh, is it okay to come in?"
151,Rachel,Of course!
152,Rachel,"Oh Joey, this ring Iit's beautiful I love it!"
153,Joey,"Yeah uh look Rach, there's something I gotta tell ya."
154,Rachel,Hey!
155,Rachel,Yeah!
156,Rachel,Hi Emma.
157,Rachel,"Hey, why do you think she won't take my breast?"
158,Joey,Yowsa!
159,Rachel,"Okay sweetie, you can do it."
160,Rachel,Just open up and put it in your mouth.
161,Joey,Dear Lord.
162,Rachel,"I'm sorry honey, what were you saying?"
163,Joey,"Oh uh-uh yeah, I think that"
164,Rachel,"Oh look, she's pulling away again!"
165,Rachel,Do you think my nipples are too big for her mouth?
166,Rachel,She looks scared.
167,Rachel,Doesn't she look scared?
168,Joey,"Y'know, I don't really know her."
169,Joey,Are you kidding me?
170,Rachel,It's just so frustrating!
171,Rachel,Why doesn't she want my breast?
172,Joey,I don't know!
173,Joey,Maybe she's crazy!
174,Phoebe,Oh hey!
175,Phoebe,Wait up!
176,Ross,Hi!
177,Phoebe,Congratulations!
178,Phoebe,I didn't want to say anything in front of Joey cause I didn't know if he knew yet.
179,Ross,"What, that we had a baby?"
180,Ross,"Come on let's give him a little credit, although, he did eat a piece of plastic fruit earlier."
181,Phoebe,No!
182,Phoebe,"No, that you and Rachel are engaged!"
183,Ross,What?
184,Phoebe,"Oh, it's a secret."
185,Phoebe,Oh goodie!
186,Phoebe,Yes!
187,Phoebe,We haven't done the secret thing in a long time.
188,Ross,"Phoebe, there is no secret."
189,Ross,Okay?
190,Ross,I didn't propose.
191,Phoebe,Are you lying?
192,Phoebe,Is this like that time you tried to convince us that you were a doctor?
193,Ross,I am a doctor!
194,Ross,Y'know what?
195,Ross,I'm just gonna go and talk to Rachel myself.
196,Phoebe,"All right, me too."
197,Phoebe,Should we wake her up?
198,Ross,No!
199,Ross,"No, come on let her sleep!"
200,Ross,She's so exhausted.
201,Phoebe,And so engaged.
202,Ross,What?
203,Ross,Oh my God!
204,Ross,She-she thinks we're engaged!
205,Ross,Why?
206,Ross,Why?
207,Ross,Why would she think we're engaged?
208,Phoebe,Perhaps because you gave her an engagement ring?
209,Phoebe,Y'know Ross doctors are supposed to be smart.
210,Ross,I didn't give her that ring!
211,Phoebe,Really?
212,Ross,No!
213,Phoebe,So whose ring is it?
214,Ross,It's mine.
215,Phoebe,Is it an engagement ring?
216,Ross,Yes!
217,Phoebe,But you didn't give it to her?
218,Ross,No!
219,Phoebe,But you were going to propose?
220,Ross,No!
221,Phoebe,"Huh, I might be losing interest in this."
222,Ross,Look.
223,Ross,"Look, my mom gave me that ring because she wanted me to propose to Rachel, but all I wanted to do is if she maybekindawanted ahstartthings up again."
224,Phoebe,"Oh, what beautiful lukewarm sentiment."
225,Ross,"Look, I didn't want to rush into anything."
226,Ross,And it seemed like she didn't want to either.
227,Ross,"But I don't, I don't understand how any of this happened!"
228,Ross,What?
229,Ross,"Did she find the ring in my jacket, assume that I was going to propose, throw it on, and-and just start telling people?"
230,Phoebe,No!
231,Phoebe,"No, she said you actually proposed to her."
232,Ross,Well I didn't!
233,Ross,I didn't propose!
234,Ross,Unless uh  Did I?
235,Ross,I haven't slept in forty hours andit does sound like something I would do.
236,Ross,Commercial Break
237,Chandler,"Look, we can't stay in here forever."
238,Monica,"Oh, I still can't believe my dad saw us having sex!"
239,Monica,"He didn't make it to one of piano recitals, but this he sees!"
240,Chandler,This is okay.
241,Chandler,We're all adults here; there's nothing to be ashamed of.
242,Chandler,"Now, let's put our underwear in our pockets and walk out the door."
243,Monica,Hi Dad!
244,Monica,I can still call you that right?
245,Monica,Mr.
246,Chandler,"I just want you to know that what you witnessed in there, that wasn't for fun."
247,Monica,It wasn't fun?
248,Chandler,Why?
249,Chandler,"Why-why-would youWh-why  Look, I just don't want you to think that we're animals who do it whenever we want."
250,Chandler,Mr.
251,Monica,"The truth is, Dad, we're-we're trying."
252,Monica,Mr.
253,Monica,"Yeah, we're trying to get pregnant."
254,Monica,Mr.
255,Monica,"Well, that's okay dad, we-we can wait until later."
256,Monica,Mr.
257,Monica,Daddy?!
258,Monica,Mr.
259,Chandler,"That's funny, this conversation's how I got the bullet hole in my head."
260,Chandler,Mr.
261,Monica,Daddy!
262,Monica,I don't think we need to hear about the specific positions you and mom had sex.
263,Monica,Mr.
264,Monica,I don't feel good right now.
265,Monica,Mr.
266,Chandler,"Seriously sir, my brains?"
267,Chandler,All over the wall.
268,Monica,Hey.
269,Rachel,Hey.
270,Rachel,I need to tell you something.
271,Monica,"Well, now's a good time."
272,Monica,I'm on my way to have my ears cut off.
273,Rachel,Joey asked me marry him.
274,Monica,What?
275,Rachel,Joey proposed to me.
276,Monica,Is he crazy?!
277,Monica,You just had Ross's baby!
278,Rachel,"Well, I-I said yes."
279,Monica,What?!
280,Monica,Are you crazy?
281,Monica,You just had Ross's baby!
282,Monica,It's-it's so inappropriate.
283,Monica,"No, it's worse than that."
284,Monica,It's wrong.
285,Monica,It's It is bigger than mine!
286,Rachel,I know.
287,Rachel,"Days of Our Lives, thank you very much."
288,Monica,You can't marry him!
289,Rachel,Why not?
290,Rachel,I don't want to do this alone!
291,Rachel,And he's such a sweet guy and he loves me so much.
292,Monica,Well do you love him?
293,Rachel,Sure.
294,Monica,Sure?
295,Rachel,"Yeah, I mean whatever."
296,Monica,"Honey, the question isdo you really want to marry Joey?"
297,Rachel,No.
298,Rachel,"No, I don't."
299,Rachel,Could you be a dear and go tell him?
300,Chandler,You still haven't told Rachel you weren't really proposing?
301,Joey,No!
302,Joey,"She had the ring on, she seemed so excited, and then she took her breast out."
303,Chandler,"Joey, you have to tell her what's going on!"
304,Chandler,And what did it look like?
305,Joey,I didn't look at it.
306,Joey,Stupid baby's head was blocking most of it.
307,Chandler,Go and tell Rachel right now before Ross finds out.
308,Joey,"Look, it's not that easy."
309,Joey,She said she wanted to marry me.
310,Joey,I don't want to hurt her.
311,Chandler,"Okay, look, just do it gently."
312,Joey,You're right.
313,Joey,You're right.
314,Joey,I-I'll go tell her now before Ross finds out and I'll be gentle.
315,Joey,I can do that.
316,Joey,I am a gentle person.
317,Joey,"Oh, by the way."
318,Joey,Two people screwing in there  if you want to check that out.
319,Ross,Hey.
320,Rachel,Hey.
321,Ross,"Listen, I um I heard about the engagement."
322,Rachel,Surprised?
323,Ross,And confused.
324,Ross,"Rach, sweetie, I-I umI didn't propose to you."
325,Rachel,I know.
326,Ross,I don't think you do.
327,Rachel,You didn't propose to me.
328,Rachel,Joey did.
329,Ross,"Poor baby, you're so tired."
330,Ross,"Rach, I didn't propose to you, Joey didn't propose to you, and Chandler didn't propose to you."
331,Rachel,"Uh You didn't propose to me, Chandler didn't propose to me, but Joey did."
332,Ross,Joey proposed to you?
333,Joey,I can come back.
334,Ross,"Hey, wait!"
335,Ross,Wait-wait-wait!
336,Ross,"Joey, did you propose to her?"
337,Joey,No.
338,Rachel,Yes you did!
339,Joey,"Actually, technically, I didn't."
340,Rachel,Well then why did you give me a ring?
341,Ross,Wait!
342,Ross,"Whoa-whoa, youyou gave her the ring?"
343,Joey,No!
344,Joey,"No, and I did not ask her to marry me!"
345,Rachel,"Yes, you did!"
346,Joey,"No, I didn't!"
347,Rachel,"Yes, you did!"
348,Joey,"No, I didn't!"
349,Rachel,"Yes, you did!"
350,Rachel,"And don't you say, ""No, I didn't!"""
351,Joey,Ahhh!
352,Rachel,He was right there.
353,Rachel,He got down on one knee and proposed.
354,Ross,Whoa!
355,Ross,You were down on one knee?
356,Joey,Yeah.
357,Joey,"Yeah, that looks bad."
358,Joey,But I didn'tI didn't propose!
359,Ross,Then what did happen?
360,Rachel,"Yeah, what did happen?"
