,Person,Said
361,Joey,"Okay, the ring fell on the floor and I went down to pick it up and you thought I was proposing."
362,Rachel,"Yeah, but you said, ""Will you marry me?"""
363,Joey,"No, I didn't!"
364,Rachel,"Yes, you did!"
365,Joey,"No, I didn't!"
366,Rachel,"Yes, you didOh my God you didn't!"
367,Rachel,Well then why didn't you tell me that before?
368,Joey,"Well I tried, but people kept coming in and then you took your breast out!"
369,Ross,Whoa!
370,Ross,Hey!
371,Ross,"Whoa-whoa-whoa, you saw her breast?"
372,Joey,I'll tell you about it later.
373,Joey,Be cool.
374,Rachel,"Well then Joey, what the hell were you doing with an engagement ring?"
375,Joey,It wasn't my ring!
376,Joey,It's Ross's ring!
377,Joey,"That's why I felt so bad Rach, because he was going to propose."
378,Ross,What?
379,Rachel,You were gonna propose to me?
380,Ross,Uhh No.
381,Joey,"Well, this is awkward."
382,Joey,{See?
383,Joey,I told you so.}
384,Ross,"But I-I was going to see if y'know, maybe you uh, start dating again but thatI mean that-that was all, Rach."
385,Joey,"Dude, step up!"
386,Joey,I proposed.
387,Ross,"No, you didn't!"
388,Joey,Oh that's right.
389,Joey,There's a lot going on here and I think I ate some bad fruit earlier.
390,Rachel,Okay.
391,Ross,I can't believe you told her I was going to propose!
392,Joey,I can't believe you're not going to propose!
393,Ross,"Hey, I'm not going to rush into anything!"
394,Joey,"Oh yeah, dude, I totally understand."
395,Joey,Usually after I have a baby with a woman I like to slow things down!
396,Rachel,Oh my God!
397,Ross,What?
398,Rachel,"She's doing it Look, she's breast-feeding look!"
399,Joey,"Ah, it's beautiful."
400,Rachel,Okay.
401,Ross,Thank you.
402,Rachel,"Oh wow, this feels weird."
403,Ross,Good weird?
404,Rachel,Wonderful weird.
405,Joey,Y'know what you guys?
406,Joey,"I'm uh, I'm gonna go too."
407,Joey,"And uh, I'm sorry about everything."
408,Rachel,"Honey don't worry, it was my mistake."
409,Joey,"No, Rach, I should've told you sooner."
410,Joey,It's just thatMan!
411,Joey,That kid is going to town!
412,Rachel,She's perfect.
413,Ross,We're so lucky.
414,Rachel,We really are.
415,Ross,"Look, I-I know it's not a proposal and I don't know where you are, but with everything that's been going on and with Emma andI've been feeling"
416,Rachel,I know.
417,Rachel,I know.
418,Rachel,I've feeling
419,Ross,Yeah?
420,Rachel,Yeah.
421,Ross,"Okay, well, that Wow, okay, well, ummthen maybe, at least we can, we can talk about us again."
422,Rachel,"Yeah, maybe."
423,Ross,"Well good, okay."
424,Ross,"I-I, kind of think y'know if weif You're wearing the ring."
425,Rachel,Wh-what's that?
426,Ross,And you told Phoebe you were engaged.
427,Rachel,"I'm sorry, what?"
428,Ross,When you thought Joey proposed diddid you say yes?
429,Ross,Closing Credits
430,Monica,Hey dad!
431,Chandler,Hey.
432,Chandler,Mr.
