,Person,Said
0,Phoebe,Oh hey Ross oh I'm so glad someone's here could   you zip me up?
1,Ross,sure.
2,Phoebe,Thank you.
3,Phoebe,Can you believe no-one between my apartment   and here offered to do that for me?
4,Ross,people  so why you all dressed   up.
5,Phoebe,oh umm Mike's picking me up for a date.
6,Ross,"oh yea now um how is that going, is it getting serious?"
7,Phoebe,"oh I dunno I dunno, you know I mean I like him but   am I ready to take my grade a loins off the meat market."
8,Ross,"you know I really admire your whole dating attitude,   it's so healthy I'm always like is this moving to fast?"
9,Ross,Is this moving to slow?
10,Ross,Where's this going?
11,Phoebe,yea you know you are a bit of a drama queen.
12,Ross,"but you, your so much better off you just go from   guy to guy having fun and never worrying that it terns into anything serious."
13,Phoebe,"I wouldn't say never, you know there's that guy    well what about  ok well there's gotta be someone."
14,Ross,There isn't that's what I'm saying.
15,Phoebe,Oh my god you're right.
16,Ross,I know and yet here you are all ready for the next   date.
17,Phoebe,"I can't believe I never realized this before, I'm   in my thirty's and never been in a long-term relationship oh my god  what's wrong with me."
18,Ross,"no, no, no there's nothing wrong with you I mean you   don't strike me as the type of person that wants to get married anyway."
19,Phoebe,I wanna get married
20,Ross,"please don't cry because of me pheebs I don't know   what I'm talking about, I've been divorced three times."
21,Phoebe,"least you've been married, OH MY GOD!"
22,Phoebe,I wanna trade   lives with Ross
23,Phoebe,"nothing, I'm excited about our date, Mike this is   Ross Geller this is Mike Haaaaa"
24,Ross,I'm sorry I didn't catch.
25,Ross,Oh Ross Geller
26,Phoebe,uh huh  how do I look
27,Ross,do you have a compact in your purse?
28,Phoebe,No
29,Ross,you look great.
30,Monica,hey Joey
31,Joey,"Hey, this girl won't turn around and I can't tell   whether she's hot or not, what do you think?"
32,Monica,Joey I am not going to objectify woman with you    but if her face is as nice as her ass woah mamma.
33,Joey,"Alright thanks, Oh hey have you talked to Chandler?"
34,Monica,yeah he has to stay in Tulsa this weekend
35,Joey,how come?
36,Monica,"he has to work, there's some rush on the big  ah damn it one of these days I'm really gonna have to start listening   when he talks about his job."
37,Joey,oh why don't you fly out there and surprise him.
38,Monica,maybe I will go  yea will have a second   honeymoon at the Tulsa romana.
