,Person,Said
39,Joey,oh and you know what you should bring the black see-through   teddy with the attached garters.
40,Monica,how do you know I have one of those?
41,Joey,didn't till just now.
42,Joey,hot not hot  Hot!
43,Joey,I said I think you're hot and now I'm embarrassed.
44,Joey,"that would've been better, I'll try that Hi I'm Joey."
45,Joey,look I don't usually ask out women that I meet in   coffeehouses
46,Joey,gesundheit
47,Joey,"really, great, did I actually ask you?"
48,Joey,"seriously Gunther you should see   someone about that cold, if it gets much worse you could DIE!"
49,Ross,so how'd the date go?
50,Phoebe,well it was awful every time I thought about what   you said I started crying.
51,Ross,So he hasn't called?
52,Phoebe,would you call this girl?
53,Phoebe,thanks-fo-r-a-love-ly-even-ing
54,Ross,now I feel terrible this is all my fault.
55,Phoebe,"well you not what you should feel terrible about,   this could have been my serious guy he was sweet and smart and funny."
56,Phoebe,Do you   know how hard it is to meet a guy like that?
57,Ross,We are a rare breed.
58,Joey,yeah and hey thanks again for letting me having that   last piece of cake at the restaurant.
59,Joey,do you have any cake?
60,Joey,>>> Joey's Subconscious   So this is going pretty good.
61,Joey,"dinner was nice, got a lot in common."
62,Joey,Victoria's secret huh we even like the same books.
63,Joey,Oh now there's a scary painting.
64,Joey,wait a minute     I think I've been scared by that painting before.
65,Joey,You know     what this whole place look familiar I have definitely been in this apartment     I know I've seen this weird plant before      AWCH!
66,Joey,It did that the last time.
67,Joey,"Oh my god, I've gone out with this girl     before yeah we had sex on this couch and then on that chair and no."
68,Joey,no we     didn't do it hear which is weird because it seems like a perfectly good place.
69,Joey,AWCH!
70,Joey,That's why.
71,Ross,"Hey Mike sorry   to just drop by like this, can I come in?"
72,Ross,"I'm Ross, Phoebe's friend from the coffeehouse."
73,Ross,"yeah I really, really need to talk to you about something."
74,Ross,No
75,Ross,Damn super cuts!
76,Ross,"oh no yeah, no Phoebe is great, but umm I'm an idiot   look right before you guys went out I accidentally got her all upset."
77,Ross,"yes, yeah I said something stupid about her never   having had a serious relationship, but you should know she is so much fun,   a wonderful person please don't blow her off."
78,Ross,well then I didn't need to bother you or the four   other Mike Hanagens I bothered.
79,Ross,of course she has.
80,Ross,if she'd never had a serious relationship   I'd go round broadcasting it like some unstoppable moron.
81,Ross,"yes, yes I did."
82,Ross,and I will also say what I'm about   to say Vis-à-vis the following Phoebe has never had a serious relationship   since her.
83,Ross,super-serious relationship with.
84,Ross,Vicrum.
85,Ross,WHAT THAT'S A REAL NAME!
86,Chandler,"Oklahoma where the wind comes   sweeping down the plane, STOP IT!"
87,Chandler,Why couldn't they have sent me to Texas?
88,Chandler,7 o clock maybe I'll hit the gym  who am I kidding pay-per-view   porn.
89,Chandler,-Cuts to Monica
90,Chandler,DO NOT DISTURB DO NOT DISTURB!
91,Monica,is everything all right?
92,Chandler,"everything's great, just watching some regular   television there, what a pleasant surprise."
93,Monica,I'm gonna go freshen up ok
94,Chandler,Ok honey.
95,Chandler,that was close.
96,Chandler,-Cut to Rachel
97,Rachel,Hello
98,Monica,Hey Rach its me ok I just got the Chandler's room   and I caught him molesting himself.
99,Rachel,Oh that couldn't have been pretty.
100,Rachel,but you know   guys do that.
101,Monica,yea well the weird part is... he was getting off   to a shark attack show!
102,Rachel,Nooooooooo!
103,Monica,Yes!
104,Monica,Chandler Watches Shark Porn!
105,Rachel,well watching sharks?
106,Rachel,Are you sure that's what he   was doing?
107,Monica,"do you know how many times I've seen him jump up   like that, believe me I know what he was doing."
108,Rachel,man sharks.
109,Rachel,I always knew there was something weird   about that dude.
110,Rachel,But you promised to love him no matter what.
111,Monica,what means if he gets like a disease or kills someone.
112,Monica,not if he gets his jollys to jaws!
113,Rachel,Ah!
114,Rachel,"You know what honey guys are just different,   they like things that we can't understand, you know I once dated this guy who   wanted to pretend he was an archeologist and I was a naughty cave woman that   he unfroze from a block of ice."
115,Monica,Eww are you talking about my bother.
116,Rachel,yeah I didn't disguise that very well did i.
117,Joey,Hey
118,Rachel,Hi
119,Joey,listen to this...
120,Joey,I went out with this girl last night   and half way through our date I realized I already slept with her.
121,Rachel,so basically you've slept with all the woman in   New York and now you're just going around again.
122,Joey,well that's not even the weird part.
123,Joey,I don't think   she remembered sleeping with me.
124,Monica,But you don't remember sleeping with her.
125,Joey,"yeah but she should remember sleeping with me I am   very memorable, you guys know."
126,Rachel,"what, how do we know, we never slept with you."
127,Joey,and who's fault is that.
128,Monica,"what's the big deal, you forgot, she forgot, maybe   you were having an off night"
129,Joey,HEY!
130,Joey,I never have an off night ok although sometimes   when I'm a little bloated I don't feel very sexy BUT EVEN THEN I'M BETTER THEN   MOST!
131,Monica,Honey why don't you just let it go and ask her   out again.
132,Rachel,"yeah your both so slutty you don't even remember   who you've slept with, you're made for each other."
133,Joey,Interesting.
134,Joey,all right I'll go out with her again   and try to get past it  OH SALT BLOATY!
135,Monica,"Joey, Joey."
136,Joey,What?
137,Monica,you don't think sharks are sexy do you?
138,Joey,No.
139,Joey,wait a minute what was the little mermaid?
140,Phoebe,It's open.
141,Ross,Hey!
142,Phoebe,HEY!
143,Phoebe,Mike called were going out again!
144,Phoebe,YAY!
145,Phoebe,YAY!
146,Ross,YAY!
147,Ross,"quick thing, I went to talk to Mike."
148,Phoebe,What?
149,Phoebe,Wha-wha-wha-did you do ROSS!
150,Ross,oh boy you got mad at that part.
151,Ross,"I went over there   to tell him how great you are but you know me BLAH, BLAH, BLAH, and I ended   up telling him that."
152,Phoebe,WHAT!
153,Ross,umm.
154,Ross,that you had a six year long relationship with   a guy named Vicrum.
155,Phoebe,WHAT!
156,Phoebe,WHY?
157,Ross,well he seemed to bum hard that you'd never been in   a serious relationship.
158,Phoebe,If you hadn't just had a baby   with my best friend I swear to Lucifer a raber dog would be feasting on your   danglers RIGHT NOW!
159,Ross,"well Phoebe, I think you'll feel better when you know   a little bit about Vicrum, His a Kite designer  and he   used to date Oprah."
160,Phoebe,"I'm not going along with some lie you made Ross,   No I'm just gonna be honest with him."
161,Ross,Good yeah just be honest with him.
162,Phoebe,yeah I've nothing to be ashamed of ok so I haven't   been in a relationship that lasted longer then a month.
163,Phoebe,Ok I haven't had a   real boyfriend you know if he can't handle that he can leave.
164,Phoebe,which he will   and that's ok. so I'll just be alone forever you know alright I'll be.
165,Phoebe,it'll   be fine.
166,Phoebe,it'll be fine.
167,Phoebe,I'll go walking tours with widows and lesbians.
168,Phoebe,Oh
169,Ross,I'll get it
170,Phoebe,ok
171,Phoebe,"Uh huh yeah  there's just something umm,   there's something you should know  Vicrum just called."
172,Joey,"Uh huh, sure, yeah."
173,Joey,How can you not remember me?
174,Joey,How could you not remember that we slept together?
175,Joey,I dunno!
176,Joey,"come on, come on, search your brain all right."
177,Joey,"it   was  a certain amount of time ago, I was here you were here, we had   sex  here, here, here NOT there."
178,Joey,Anything?
179,Joey,my god woman!
180,Joey,How many people do you have to had been   with not to remember any of this?
181,Joey,Hayley's
182,Joey,"Ooooooooooh, I slept with you!"
183,Joey,And you obviously remember   me Hey!
184,Joey,I still got it.
185,Joey,so were good.
186,Joey,I'll let myself out.
187,Phoebe,".and I said Vicrum you can't just call every time   you get lonely you know, you, you gave up that right when you slept with Rachel."
188,Phoebe,yeah well  yeah you know Emma's birth certificate   might say Geller but her eyes say Mookurgee.
189,Phoebe,I know but he call's and my heart goes to him.
190,Phoebe,You   know that bastard is one smooth talking free lance kite designer.
191,Phoebe,Oh.
192,Phoebe,ok I can't do this.
193,Phoebe,"well there is no Vicrum, Ross made him up because   I never really have been in a long-term relationship, I've never lived with   a guy, and I've never even celebrated an anniversary so."
194,Phoebe,if that's   too weird for you and you wanna leave I totally understand.
195,Phoebe,In fact I'll close   my eye's make it less awkward  You kissed me.
196,Phoebe,so you don't think I'm a total freak
197,Phoebe,"I guess so, can I. can I think it's cool that you   kiss me and also wanna kiss you again  and umm, be a little concerned about the magic markers."
198,Ross,This is Vicrum.
199,Chandler,Hi honey I'm home!
200,Monica,"Hi, how was your flight?"
201,Chandler,oh it was great.
202,Monica,"Here why don't you sit down, get yourself comfortable   because I.  have   a little surprise for you."
203,Chandler,"well, well, well it must be five in Tulsa because   it's six o clock IN NY.C!"
204,Monica,Ok  This is how much I love   you.
205,Chandler,Honey why am I watching   a bunch of sharks swimming around.
206,Monica,Is this not the good part?
207,Monica,Do you want me to fast   forward to something a little toothier.
208,Chandler,no I'm not quite sure you got the right movie   that's all.
209,Monica,"Oh well this is the only one they had at our video   store, but they did have something called crocodile killers."
210,Monica,Or does it always   have to be sharks?
211,Chandler,does what always have to be sharks.
212,Monica,"Honey look we can do something else, do you want   me to get into the tub and thrash."
213,Chandler,What's going on?
214,Monica,"sweetie it's ok, I still love you, let me be a   part of this."
215,Chandler,let ME be a part of this!
216,Monica,I saw what you were doing in Tulsa.
217,Monica,angry sharks   turn you on!
218,Chandler,no they don't
219,Monica,then why were you watching them and giving YOURSELF   a treat.
220,Chandler,OH MY GOD!
221,Chandler,"When you came in I switched the channel,   I was just watching regular porn"
222,Monica,really?
223,Chandler,yeah just some good old fashion girl on girl American   action.
224,Monica,I cannot tell you how happy that makes me!
225,Chandler,You are an amazing wife.
226,Chandler,"No really   you're amazing you were actually gonna do this for me, I mean where do you   find the strength and understanding over something like that."
227,Monica,"Im very, very drunk right now."
228,Joey,"see ordinarily I would talk   to her, but my confidence is shaken did I sleep with her?"
229,Joey,Did I not sleep with   her?
230,Phoebe,"you know maybe this is a wake up call, about your     whole dating attitude."
231,Phoebe,"Your in your thirty's and you've never had a serious     relationship and you have never been in a long term relationship, here you     go from woman to woman, meaningless experience to meaningless experience     never even worrying that it doesn't tern into anything serious."
232,Joey,your right!
233,Joey,I love my life!
234,Joey,I actually did sleep with   her.
