,Person,Said
0,Rachel,What the hell is that?!!
1,Rachel,What the hell is that?
2,Rachel,Is that you?
3,Rachel,Ohhhhhhh!
4,Monica,"Boy, you are really not a morning person."
5,Rachel,BACK OFF!!!
6,Rachel,Get up!
7,Rachel,Get up!
8,Rachel,Get up!
9,Rachel,God damn it!
10,Rachel,"Get up, get up, get up, get up, get up!"
11,Rachel,What is that noise?
12,Chandler,You!
13,Joey,It's the chick!
14,Joey,She'sgoing through some changes.
15,Monica,What kind of changes?
16,Chandler,Well the vet seems to think that's she's becoming a rooster.
17,Chandler,We're getting a second opinion.
18,Chandler,Opening Credits
19,Phoebe,Hey!
20,Ross,"Hey, what are you doing shopping at eight in the morning?"
21,Rachel,"Well, I've been up since six."
22,Rachel,Thanks to somebody's dumb-ass rooster.
23,Phoebe,You guys you really should get rid of those animals.
24,Phoebe,They shouldn't be living in an apartment.
25,Rachel,Yeah!
26,Rachel,Especially not with all of these knives and cookbooks around
27,Phoebe,All right.
28,Phoebe,"I'm gonna go to the fertility doctor and um, see if I'm ready to have Frank and Alice's embryo transferred into my uterus."
29,Ross,"Now, how will they know if you're ready?"
30,Phoebe,"Oh, they're just gonna umm, look to see if my endometria layer is thick."
31,Chandler,"Oh, I can uh, check that for ya."
32,Phoebe,"Okay everyone, think thick."
33,Phoebe,Hi!
34,Phoebe,Wish me luck!
35,Monica,"Oh, good luck."
36,Joey,Good luck.
37,Joey,And I'm still right!
38,Monica,That is sooo not true!
39,Rachel,What?
40,Joey,She's mad because I know today's her laundry day and that means she's wearing her old lady underpants.
41,Chandler,I can check that for ya.
42,Monica,I justI can't believe that you think that you and Chandler know me and Rachel better than we know you.
43,Chandler,Well we-we do.
44,Chandler,You can only eat Tic Tacks in even numbers.
45,Joey,"Yeah, what's that about?"
46,Chandler,"And you Ross, I believe, if you check Rachel's bag you will find a half-eaten box of cookies in there."
47,Ross,You're good.
48,Ross,These are not.
49,Rachel,I'm so not impressed.
50,Rachel,Everybody snacks when they shop.
51,Monica,Yeah.
52,Joey,Oh yeah?
53,Joey,"Ross, how many items left in that bag?"
54,Ross,Five.
55,Chandler,"Okay, ten bucks says that we can name every item in that bag."
56,Rachel,How many guesses do you get?
57,Joey,Six.
58,Ross,Challenge extended.
59,Monica,Deal!
60,Ross,Challenge excepted.
61,Joey,"All right, we'll start withapples."
62,Ross,We'll be starting with apples.
63,Chandler,Stop that now!
64,Chandler,Yes!
65,Joey,Okay.
66,Joey,"Uhh, tortilla chips, yogurt."
67,Chandler,Diet soda.
68,Ross,Yes.
69,Ross,Yes.
70,Ross,Yes.
71,Chandler,Orange juice.
72,Rachel,No!
73,Rachel,There's no orange juice in there!
74,Rachel,We win!
75,Monica,Ha-ha!
76,Ross,They have another guess.
77,Rachel,"Okay, well, we won that one."
78,Joey,"Okay, the last thing"
79,Chandler,"Oh-oh, oh, oh-oh!"
80,Joey,"No-no, not for like another two weeks."
81,Chandler,I got it!
82,Chandler,Scotch tape.
83,Ross,How did you know she would buy scotch tape?
84,Chandler,"Well, we used there's up last night making scary faces."
85,Monica,"Aww, man!"
86,Chandler,All right!
87,Chandler,Ten buck!
88,Chandler,Fork it over!
89,Chandler,Cough it up!
90,Chandler,Pay the piper!
91,Chandler,Gimme it.
92,Monica,"That does not mean you know us better, I-I want a rematch."
93,Rachel,"Yeah, and none of these stupid grocery questions, real personal questions."
94,Monica,Yeah!
95,Monica,And the winner gets a hundred bucks.
96,Joey,Serious?
97,Monica,Are you scared?
98,Joey,No!
99,Joey,"All right, who-who makes up the questions?"
100,Monica,Ross will do it.
101,Ross,"Oh sure, ""Ross will do it!"""
102,Ross,"It's not like he has a job, or a child, or a life of his own."
103,Rachel,Fine!
104,Rachel,We'll ask Phoebe.
105,Ross,"No-no-no, I-I wanna play."
106,Phoebe,Oh!
107,Phoebe,I knew it!
108,Phoebe,I knew it!
109,Phoebe,I felt really thick this morning.
110,Phoebe,Embryossss?
111,Phoebe,"As in, ""More than one?"""
112,Phoebe,Dr.
113,Phoebe,Five?
114,Phoebe,"Okay, where am I giving birth, a hospital or a big box under the stairs?"
115,Phoebe,Dr.
116,Phoebe,That's it!
117,Phoebe,25 percent?
118,Phoebe,That means that's it's like 75 percent chance of no baby at all!
119,Phoebe,"Okay, well y'know what, don't worry you guys, cause I'm-I'm gonna do this as many times as it takes to get it right."
120,Phoebe,Whoa!!
121,Phoebe,"Thatokay, that's a lot of pressure on me and my uterus."
122,Phoebe,"So, well okay, so is thereis maybe is there something that I can do y'know just to like help make sure I get pregnant?"
123,Phoebe,Dr.
124,Phoebe,Wow!
125,Phoebe,You guys really don't know anything!
126,Monica,You guys!
127,Monica,"Do you realize that any minute now, Phoebe can be pregnant?"
128,Joey,Huh.
129,Rachel,I know!
130,Rachel,"I know, it's such a huge, life-altering thing."
131,Joey,I know.
132,Ross,The test is ready.
133,Ross,"Okay, each team will answer ten questions."
134,Ross,The first team that answers the most questions wins.
135,Ross,"Okay, the categories are, Fears and Pet Peeves, Ancient History, Literature, and It's All Relative."
136,Ross,"Now, the coin toss to see who goes first."
137,Ross,"Okay, somebody call it this time."
138,Rachel,Tails!
139,Ross,It's heads.
140,Ross,"Gentlemen, pick your category."
141,Chandler,Fears and Pet Peeves.
142,Ross,What is Monica's biggest pet peeve?
143,Joey,Animals dressed as humans.
144,Ross,That's correct.
145,Ross,Ladies?
146,Monica,Same category?
147,Ross,"According to Chandler, what phenomenon scares the bejeezus out of him?"
148,Monica,"Michael Flatley, Lord of the Dance!"
149,Ross,That is correct.
150,Joey,The Irish gig guy?
151,Chandler,His legs flail about as if independent of his body!
152,Ross,"Gentlemen, you're pick."
153,Joey,It's All Relative.
154,Ross,"Monica and I have a grandmother who died, you both went to her funeral, name that grandmother!"
155,Joey,Nana?
156,Chandler,She has a real name.
157,Joey,Althea!
158,Chandler,Althea?!
159,Chandler,What are you doing?
160,Joey,I took a shot.
161,Chandler,You're shooting with Althea?
162,Ross,Althea is correct.
163,Chandler,Nice shooting!
164,Rachel,We'll take Literature!
165,Ross,"Every week, the TV Guide comes to Chandler and Joey's apartment."
166,Ross,What name appears on the address label?
167,Rachel,Chandler gets it!
168,Rachel,It's Chandler Bing!
169,Monica,No!
170,Ross,I'm afraid the TV Guide comes to Chinandolor Bong.
171,Monica,I knew that!
172,Monica,Rachel!
173,Monica,Use you're head!
174,Chandler,"Actually, it's Miss Chinandolor Bong."
175,Phoebe,"Hello, tiny embryos."
176,Phoebe,"Well, I'm-I'm Phoebe Buffay, hi!"
177,Phoebe,I'm-I'm-I'm hoping to be your uterus for the next nine months.
178,Phoebe,"You should know, that we're doing this for Frank and Alice, who you know, you've been there!"
179,Phoebe,"Umm, y'know they want you so much, so when you guys get in there, really grab on."
180,Phoebe,"Okay, and-and I promise that I'll keep you safe and warm until you're ready to have them take you home, so Oh!"
181,Phoebe,"And also, umm next time you see me, I'm screaming, don't worry, that's what's supposed to happen."
182,Phoebe,Dr.
183,Phoebe,Uh-huh.
184,Phoebe,Good luck.
185,Ross,"All right, the score is nine to eight in favor of the guys."
186,Ross,"Ladies if you miss this the game is theirs, pick your category."
187,Rachel,It's All Relative!
188,Ross,You don't have to shout everything.
189,Rachel,I'm sorry!
190,Ross,Ooh.
191,Ross,What is the name of Chandler's father's Las Vegas all-male burlesque?
192,Monica,Viva Las Gaygas!
193,Chandler,Unfortunately that is correct.
194,Chandler,The
195,Ross,"All right, we have a tie."
196,Ross,"Luckily, I have prepared for such an event."
197,Ross,The Lightning Round!
198,Ross,"Thirty seconds, all the questions you can answer."
199,Monica,"You guys are dead, I am so good at lighting rounds."
200,Chandler,I majored in lightning rounds.
201,Chandler,"All right, we're gonna destroy you."
202,Monica,"Huh, wanna bet?"
203,Chandler,"Well, I'm so confused as to what we've been doing so far"
204,Monica,"How about we play for more money, say 150?"
205,Ross,150 dollars.
206,Chandler,Say 200?
207,Ross,200 dollars.
208,Monica,You're doing it again.
209,Ross,Excuse me.
210,Rachel,"Monica, I don't want to lose 200 dollars."
211,Monica,We won't.
212,Monica,300?
213,Rachel,Monica?
214,Monica,I'm just trying to spice it up!
