,Person,Said
0,Rachel,Okay.
1,Rachel,Hey.
2,Rachel,Umm.
3,Rachel,Does everybody hate these shoes?
4,Chandler,"Oh yeah, but don't worry."
5,Chandler,I don't think anybody's gonna focus on that as long as your wearing that towel dress.
6,Rachel,Tell him.
7,Ross,It's her first day at this new job.
8,Ross,Your not supposed to start with her!
9,Chandler,"All right, I suppose I can wait a day."
10,Chandler,"Hey, what are you doing Friday?"
11,Ross,Why?
12,Chandler,"I need you to come to this bachelor party for my weird cousin Albert, y'know he's the botanist."
13,Ross,Oh God.
14,Ross,"Y'know, botanists are such geeks."
15,Chandler,Yeah.
16,Chandler,Is that a dinosaur tie?
17,Ross,Hmm?
18,Ross,"Oh, yeah."
19,Phoebe,Morning.
20,Phoebe,"Rach, I'm here with the purses!"
21,Chandler,It must take you forever to find your keys.
22,Rachel,"Thank you, thank you, thank you, Pheebs."
23,Phoebe,"Your welcome, oh please not the one with the turtles."
24,Rachel,"No, no, no, no turtles scare me."
25,Rachel,I don't need that today.
26,Ross,"Honey, just relax, it's gonna be fine."
27,Ross,"Hey, umm,."
28,Ross,why don't I come down there and I'll take you out to lunch?
29,Rachel,"Oh honey, thank you, but Mark's taking me out."
30,Ross,"Mark is that ah, the same Mark that helped you get the job?"
31,Rachel,"Yeah, it's kinda like a 'good luck on your first day' sort of thing."
32,Rachel,Is this actually a lunchbox?
33,Phoebe,"Umm, no, it's a purse."
34,Phoebe,And there's a thermos in it.
35,Rachel,Oh.
36,Chandler,"Hey, so can you make it on Friday?"
37,Ross,What?
38,Ross,"Oh yeah, yeah I think so."
39,Ross,Why am I invited to this again?
40,Chandler,Well apparently Albert has no friends.
41,Chandler,He's very excited about the bachelor party though.
42,Chandler,I think actually the only reason he's getting married is so he can see a stripper.
43,Phoebe,"A stripper at a bachelor party, that is so cliché."
44,Phoebe,Why don't you get a magician?
45,Chandler,"Well, if the magician can open my beer with his but cheeks, then all right."
46,Chandler,Opening Credits
47,Ross,She's having lunch with him.
48,Ross,She's having lunch with him.
49,Ross,And you should of seen the hug she gave him when she got the job.
50,Ross,"And, and, and,  he's really good looking."
51,Ross,What am I gonna do?
52,Chandler,Don't do anything.
53,Chandler,Keep it inside.
54,Chandler,Learn how to hide your feelings!
55,Chandler,Don't cry outloud.
